,1,2,3,4,5,6,7,8,9,10
1,645,,,,,,,,,
2,3686,,,,,,,,,
3,6018,742,,,,,,,,
4,2297,3820,,,,,,,,
5,227,7955,866,,,,,,,
6,1,7975,3268,,,,,,,
7,,3677,7624,706,,,,,,
8,,708,11104,2584,,,,,,
9,,73,8957,6028,731,,,,,
10,,4,4127,11004,2216,,,,,
11,,,1169,12537,5274,681,,,,
12,,,242,9726,10151,1899,,,,
13,,,33,5296,13600,3889,608,,,
14,,,13,1855,13133,8076,1528,,,
15,,,,393,9535,12383,2864,597,,
16,,,,55,4918,15155,6316,1295,,
17,,,,,1878,14245,11292,1778,709,
18,,,,,476,9934,15510,4266,1343,
19,,,,,105,5050,16862,8834,1467,664
20,,,,,20,2166,14292,13850,3301,1134
21,,,,,1,719,9523,17528,6840,1171
22,,,,,,173,4898,17793,11918,2646
23,,,,,,33,2062,14557,16218,5530
24,,,,,,3,604,9679,18935,9924
25,,,,,,,173,5415,18222,14949
26,,,,,,,25,2699,14331,18862
27,,,,,,,4,958,9533,20237
28,,,,,,,,281,5264,17927
29,,,,,,,,93,2443,13436
30,,,,,,,,18,904,8815
31,,,,,,,,2,266,4840
32,,,,,,,,,60,2343
33,,,,,,,,,4,988
34,,,,,,,,,,398
35,,,,,,,,,,135
36,,,,,,,,,,40
37,,,,,,,,,,4
